count,number1,number2,number3,number4,number5,number6,bonus
601,2,16,19,31,34,35,37
602,13,14,22,27,30,38,2
603,2,19,25,26,27,43,28
604,2,6,18,21,33,34,30
605,1,2,7,9,10,38,42
606,1,5,6,14,20,39,22
607,8,14,23,36,38,39,13
608,4,8,18,19,39,44,41
609,4,8,27,34,39,40,13
610,14,18,20,23,28,36,33
611,2,22,27,33,36,37,14
612,6,9,18,19,25,33,40
613,7,8,11,16,41,44,35
614,8,21,25,39,40,44,18
615,10,17,18,19,23,27,35
616,5,13,18,23,40,45,3
617,4,5,11,12,24,27,28
618,8,16,25,30,42,43,15
619,6,8,13,30,35,40,21
620,2,16,17,32,39,45,40
621,1,2,6,16,19,42,9
622,9,15,16,21,28,34,24
623,7,13,30,39,41,45,25
624,1,7,19,26,27,35,16
625,3,6,7,20,21,39,13
626,13,14,26,33,40,43,15
627,2,9,22,25,31,45,12
628,1,7,12,15,23,42,11
629,19,28,31,38,43,44,1
630,8,17,21,24,27,31,15
631,1,2,4,23,31,34,8
632,15,18,21,32,35,44,6
633,9,12,19,20,39,41,13
634,4,10,11,12,20,27,38
635,11,13,25,26,29,33,32
636,6,7,15,16,20,31,26
637,3,16,22,37,38,44,23
638,7,18,22,24,31,34,6
639,6,15,22,23,25,32,40
640,14,15,18,21,26,35,23
641,11,18,21,36,37,43,12
642,8,17,18,24,39,45,32
643,15,24,31,32,33,40,13
644,5,13,17,23,28,36,8
645,1,4,16,26,40,41,31
646,2,9,24,41,43,45,30
647,5,16,21,23,24,30,29
648,13,19,28,37,38,43,4
649,3,21,22,33,41,42,20
650,3,4,7,11,31,41,35
651,11,12,16,26,29,44,18
652,3,13,15,40,41,44,20
653,5,6,26,27,38,39,1
654,16,21,26,31,36,43,6
655,7,37,38,39,40,44,18
656,3,7,14,16,31,40,39
657,10,14,19,39,40,43,23
658,8,19,25,28,32,36,37
659,7,18,19,27,29,42,45
660,4,9,23,33,39,44,14
661,2,3,12,20,27,38,40
662,5,6,9,11,15,37,26
663,3,5,8,19,38,42,20
664,10,20,33,36,41,44,5
665,5,6,11,17,38,44,13
666,2,4,6,11,17,28,16
667,15,17,25,37,42,43,13
668,12,14,15,24,27,32,3
669,7,8,20,29,33,38,9
670,11,18,26,27,40,41,25
671,7,9,10,13,31,35,24
672,8,21,28,31,36,45,43
673,7,10,17,29,33,44,5
674,9,10,14,25,27,31,11
675,1,8,11,15,18,45,7
676,1,8,17,34,39,45,27
677,12,15,24,36,41,44,42
678,4,5,6,12,25,37,45
679,3,5,7,14,26,34,35
680,4,10,19,29,32,42,30
681,21,24,27,29,43,44,7
682,17,23,27,35,38,43,2
683,6,13,20,27,28,40,15
684,1,11,15,17,25,39,40
685,6,7,12,28,38,40,18
