회차,그룹,당첨번호,보너스번호
1,4,162132,278249
2,2,450558,164467
3,4,544955,059369
4,4,124420,231097
5,4,754655,190779
6,5,193202,206460
7,2,597093,482505
8,4,234058,548682
9,3,133510,214241
10,2,770173,064264
11,1,867654,485530
12,5,076676,611004
13,1,669245,880089
14,3,432496,551009
15,4,477238,146382
16,4,664056,757985
17,3,317227,031708
18,1,562222,881980
19,5,859219,411936
20,1,819605,555787
21,1,239937,552318
22,1,913622,362104
23,4,158071,726990
24,2,002989,967030
25,3,463637,386750
26,3,192856,561714
27,5,412008,967142
28,5,080839,378956
29,4,355192,126078
30,3,487215,158190
31,1,771598,997863
32,1,579176,340043
33,4,596219,641687
34,4,977686,832227
35,1,542454,116523
36,4,735757,252663
37,3,453877,566566
38,3,307836,162480
39,1,199137,320718
40,2,631086,585802
41,1,742714,698335
42,4,974231,892343
43,4,589839,890546
44,3,668818,799181
45,2,318754,494221
46,4,010963,721817
47,4,941327,524495
48,1,779363,888642
49,4,305248,191335
50,3,592111,176570
51,2,510012,088185
52,2,597227,208635
53,5,649638,580357
54,5,627054,932535
55,1,477879,595710
56,1,993174,677799
57,2,272286,330395
58,5,939327,551934
59,2,159056,973521
60,5,216510,029163
61,3,575862,602610
62,4,014073,572889
63,4,335226,791181
64,5,676003,855524
65,4,732375,020421
66,4,990834,364915
67,3,807531,138660
68,5,191075,218786
69,4,775530,033385
70,1,248672,956387
71,1,159486,881938
72,2,114687,047913
73,1,501026,222247
74,2,256789,832650
75,3,658340,766103
76,1,890966,949325
77,5,436305,294693
78,2,515884,927998
79,5,408379,067084
80,1,641358,983274
81,1,971511,600139
82,4,935053,768102
83,3,136128,807794
84,4,580148,775986
85,5,338407,167750
86,5,950320,094504
87,4,740942,511055
88,2,329695,565110
89,4,585449,106050
90,5,235858,408032
91,3,586054,654710
92,4,487381,878068
93,4,180249,831894
94,1,807121,481216
95,5,841331,997409
96,2,330481,101248
97,1,783688,397712
98,4,707437,981618
99,3,202997,660276
100,4,419399,584136
101,4,068561,656277
102,3,030569,844643
103,4,786276,863443
104,2,689922,730545
105,1,180506,051630
106,5,307695,979966
107,3,192750,806669
108,3,605195,714758
109,3,164115,673876
110,5,542980,364714
111,1,393588,544825
112,3,802007,279142
113,3,248855,459693
114,2,699286,002905
115,2,749063,838687
116,2,641770,215051
117,4,269117,340900
118,1,929977,378112
119,4,088257,494366
120,2,218556,365427
121,5,444520,939604
122,1,016841,197530
123,3,938423,894954
124,5,311244,434462
125,5,845390,010812
126,5,559830,610946
127,3,905658,610726
128,3,923864,676353
129,1,619003,160845
130,3,737747,982003
131,5,852265,064600
132,1,338822,980313
133,1,107523,464694
134,1,047022,904394
135,2,400876,581190
136,5,587411,430827
137,1,873784,609895
138,1,393066,269254
139,1,201688,056960
140,4,469185,832940
141,4,895352,686221
142,2,852960,767672
143,5,459979,933888
144,5,849681,007544
145,2,221111,103724
146,1,643570,357651
147,4,838380,709673
148,1,826930,312717
149,5,378296,042521
150,3,365343,512134
151,4,256502,884688
152,3,905531,787846
153,1,977038,455399
154,3,826393,710212
155,4,739586,512377
156,1,071712,782390
157,5,243430,816581
158,2,357856,178565
159,3,846581,957674
160,5,440286,856561
161,3,055838,149140
162,2,802493,216364
163,1,711067,102875
164,1,972349,091515
165,1,718273,920041
166,4,342103,483956
167,3,475016,297625
168,2,970731,541247
169,3,924748,588050
170,2,965178,037262
171,2,844578,735284
172,1,092138,668283
173,3,803757,689970
174,2,876021,303134
175,5,765740,886824
176,3,858952,376170
177,3,105948,269313
178,3,004687,212701
179,2,947176,429289
180,3,836838,349504
181,3,550104,115475
182,1,993750,772427
183,4,321423,406634
184,3,646362,453417
185,4,577418,628266
186,5,616814,222250
187,5,200473,819797
188,5,502522,957460
189,4,466557,212372
190,2,850365,731472
191,4,296430,883654
192,2,034210,718725
193,2,491905,554186
194,5,461102,840423
195,4,531307,118693
196,4,113393,349078
197,4,966616,200861
198,2,437803,620125
199,4,103633,275709
200,5,146362,260054
201,1,472675,551746
202,2,419093,193778
203,3,453064,178825
204,5,756397,838072
205,1,472377,935481
206,3,489075,597696
207,3,211988,396540
208,1,879829,030636
209,4,998750,135188
210,3,040662,951419
211,1,960554,327793
212,2,111915,482240
213,1,156049,264957
214,1,718766,087547
215,1,849572,354129
216,5,326117,248841
217,5,817509,060717
218,5,263338,885924
219,5,425483,500155
220,4,444739,171481
221,5,131347,064200
222,5,058627,661311
223,5,279895,394453
224,4,938763,760145
225,3,245914,356347
226,1,502275,940119
227,5,068516,989890
228,4,127317,906425
229,1,441510,232828
230,2,817209,128711
231,3,660621,476230
232,1,868476,117342
233,4,378868,436999
234,4,658373,240662
235,4,817148,349459
236,4,444431,875258
237,5,793969,045886
238,5,988942,291070
239,4,277326,160764
240,4,446648,761555
241,2,106716,987868
242,1,323164,436976
243,2,084982,825649
244,5,033337,224594
245,1,179273,080384
246,3,176069,562770
247,2,490590,523374
248,2,024992,888028
249,1,090785,205846
250,3,437950,592591
251,4,346196,405200
252,4,002228,615847
253,4,484010,921169
254,5,045083,829316
255,4,941271,892569
256,5,584766,812800
257,3,566239,188180
258,1,265256,581367
259,3,707288,215109
260,1,235108,595288
261,1,844061,915574
262,3,564583,074356
263,5,162265,213377
264,2,063053,250143
265,5,802320,036379
